lounge_id,lounge_name,airport,type_of_lounge
d1777d79a7ff9d3c4d3cae3ba5fc1b93,Tap Lounge,Lisbon Airport,Business Class
c82fde9e7fb60abd1398ccced27cb401,unknown,Singapore Changi Airport,First Class
2c911e068748499664db3831e3f741e2,unknown,Oslo Airport,unknown
be90ba1fb1f80e49a0753eff40c6bd1e,SilverKris Lounge,Brisbane Airport,Business Class
7b839a9eab2eb98510145b0d149e4e27,unknown,London Gatwick Airport,First Class
1bfdb5b6d630f72b878cc9f6e9082d6b,unknown,Munich Airport,First Class
cce7961ab4d714cb691908274fa29ee9,Karubuni,Entebbe Airport,Business Class
5cf3b87ad11d0bc32d799af39a551d14,Aena Miro,Barcelona Airport,Business Class
3039bc3dd8be41902a5fa616f9bb6e80,Business Class,Santiago De Chile Airport,Business Class
f4a0e2dfd9c3a2255ea8e710f074dae7,Terminal 3,Jakarta Airport,Business Class
5de7d19713de774754644dfe08359d3b,Royal Orchid,Bangkok Suvarnabhumi Airport,Business Class
ff78fa645f68a53dd7c3aaef5ec173e7,Emperor Lounge,Auckland Airport,Business Class
05b7fc7e822715d0bbde6f4c24e231f3,Domestic Lounge,Bangkok Suvarnabhumi Airport,Business Class
77a6d799e7ad9605b6629322e7a9d033,Senator,Zurich Airport,Frequent Flyer
be5d7c3a8fb06ce7032fecb1d5482539,Crown Lounge,Amman Queen Alia Airport,Business Class
b1696c9384f5b88dff11a83fdf18bfe1,Club World,Antigua Vc Bird Airport,unknown
d4afcf114f81e50c9940baee6e32e3a1,Senator Lounge,Washington Dulles Airport,Frequent Flyer
c199072ceb3e491736486dd848c37d3c,Kandinskiy Lounge,Moscow Sheremetyevo Airport,Members
62440a76abe2ea3676ceaf199e56827d,unknown,Perth Airport,Frequent Flyer
a7a8f8b40aed156e1c989d4e3f4ea801,Plumeria lounge,Honolulu Airport,Business Class
9ab5fbeac6d4c44b8b62ec7e4ade0265,Business Class Lounge,Istanbul Airport,Business Class
034186f1fac0874c6d489f8becef5ebb,unknown,Shenzhen Baoan Airport,First Class
0dfb66e7b5b28e49d2858376687ddcc7,ANA,Lisbon Airport,Business Class
37a99e472c988e0b2d44c1d999361342,Star Alliance,Los Angeles LAX Airport,Frequent Flyer
934407afa97a4dad6e4764ac0e20e296,Wings,Hong Kong Airport,Business Class
c528a57fc796599df2741edf0486659c,Aspire,Copenhagen Airport,Business Class
60437c9789827569de527998b1eb616e,Senator Lounge,New York JFK Airport,unknown
daa79636837473bbc3da256642acd0a2,Premier Lounge,Denpasar Bali Airport,Business Class
aba3b59fcdf8cd879ace6cf4313b7d64,Star Alliance,Sao Paulo Guarulhos Airport,unknown
691f3d3c3e234fb5bee21bc68a9bad19,Club Lounge Gate 15,Glasgow Airport,Business Class
0052d7a353532a0ecba25340fd5d8e28,080 Domestic Lounge,Bangalore Airport,Pay to Use
b0875fc1da56bc6782dfb7f3ec02a6b5,Admirals Club,London Heathrow Airport,Business Class
b4f7fc2537822d8ad8eae4e29cdfb2e6,Club ATL,Atlanta Hartsfield Airport,Business Class
755a6c0c1e33431b1b697eedeebdb9f8,Business Lounge,Brussels Zaventem Airport,Business Class
16717b390afe3d3abfa858fd67f81438,Gold Lounge,Copenhagen Airport,Frequent Flyer
f59e6857ea18a8a6888848b91e3c8942,Serenediva Lounge,Colombo Airport,Business Class
a892c1f1705b1fd9f5273039a4af1c00,Terminal 2 (4D),Taipei Airport,Business Class
c0d22cf983b64a213038e04fea29efd5,Qantas London Lounge,London Heathrow Airport,Business Class
c5213cbcbd0166d0b77c9546fc4f664d,Star Alliance,London Heathrow Airport,Business Class
bb74b99a4cb3d6c82385092ea8dd8f82,unknown,Frankfurt Main Airport,unknown
6af0d2bec08a9351a47c896ee081cdd2,Terraces Lounge,Jersey Airport,Business Class
cdf18715826ee75ee02e6a316c030a50,Virgin Australia lounge,Brisbane Airport,Business Class
2de422214a0854ce7055ded461166a31,The Loft,Los Angeles LAX Airport,Business Class
628ead326adbb4bc9ad5146578440870,JAL Sakura Lounge,Tokyo Haneda Airport,Business Class
285c9dbc9ece32f012732e38c9f5cf8d,Non-Schengen Lounge,Helsinki Vantaa Airport,Business Class
1668357c1242c67d02b614aed188c068,Menzies lounge,Prague Airport,Frequent Flyer
670349020cbf289eee5e2dee9e6f262f,Sky team lounge,Sydney Airport,First Class
ab58bb144434eada0b17c005bba7fd6c,unknown,Fortaleza Airport,Business Class
171c43dbc7fe89c97c80345726182392,Royal Orchid Lounge,Phuket Airport,Business Class
e73fbbf6ad83c95e91de7c38c8190b1b,Galleries Lounge,London Heathrow Airport,unknown
349776d8188c4a4b6a74bcba1a462d8a,Terminal 3,London Heathrow Airport,unknown
611e7c51d5e2661f511703c70b81da7b,unknown,Vancouver Airport,First Class
37df7e1e9d0e942592881fbad24a6aa4,Terminal 3 lounge,London Heathrow Airport,Business Class
16a0ef7a7852241c3e4e5485a7c9bdcc,Terraces Lounge,London Heathrow Airport,Business Class
0aeaacf4b4911ab5683587c6ced8059d,Qantas Business Class Lounge,Sydney Airport,Business Class
8e8284767625b3abc1b76b7dcd46a844,Skyteam,London Heathrow Airport,unknown
68cfc132d6f86cc842f72c547a21a32e,Servisair 41 Lounge,Amsterdam Schiphol Airport,Business Class
5def111f0a856cd49f3753eb116963fb,Priority Pass,Hamad  Doha Airport,Business Class
54931ed6e6167e2e87e9b71d4064c4f1,VIP Lounge SAC,Catania Airport,Business Class
cd9fbb462913aaa1246708e88d0f0137,Admirals Club,Chicago O'Hare Airport,Members
1e05b2bcfa584866d7f3906bfff7f428,unknown,Dammam Port Airport,Business Class
d4d11098c93b424c7f1da6d86e3c6731,Rublev,Moscow Sheremetyevo Airport,Business Class
fa96eae5cbb40da8358b1578c469085a,Qantas Club,Rockhampton Airport,Frequent Flyer
d9c1398ff494940dbcfd8bb52ecd28b7,Aegean Lounge,Athens Airport,Frequent Flyer
3769fc1498f4f7ff7c4be89e4346f598,Terraces Lounge,Rome Fiumicino Airport,Business Class
a326b4ff2784aea5ad65fe8f39c5c47a,Club Europe,London Gatwick Airport,Business Class
b83ac7f2029aff9fa0784b335a4647c0,unknown,Lyon Airport,Business Class
31aa9ebc52c3bd7a97006eed985b27e4,Executive Lounge,Rome Fiumicino Airport,Business Class
1332c7da088ab7fd795c90e4f7905347,Plaza Premium,Clark Airport,Pay to Use
2995c2d91a2fd21a6561e14caf4ccc49,Koru,Auckland Airport,Frequent Flyer
45412dfd1e867b42e654ef33d14b1552,Polaris,Chicago O'Hare Airport,Business Class
dbe1ddbf711cc7009c5f90d28954525c,unknown,Tianjin Binhai Airport,Business Class
e3f77fc8c99a62b28ea832cf9210d8ec,Presidential club,Honolulu Airport,First Class
24727e3545d2a401578bc6d011897e7a,Premium Lounge,London Heathrow Airport,Business Class
71fa912e573747fcc800e9596b4cc4cb,Qantas,Perth Airport,Business Class
6ac2249c5a500f8213738bcb721967a0,Clubhouse,Hong Kong Airport,unknown
9b45b42e1c94958d2fb86e424e0e4c4b,Gallery,Johannesburg Airport,First Class
772f3e7966cceb69dd9e88bfebfacab4,La Première,Paris CDG Airport,First Class
2a436afdfc71bd1816227a1b4ffc7419,El Safwa,Doha Airport,First Class
7bdb2c1c2915f59fe66a87e00f32d9b2,Business Lounge (A Gates),Dubai Airport,Business Class
71909b73a4016ba0d848928353db4ee3,Marhaba Lounge,Dubai Airport,Business Class
bf3c317622214a5c9c6b1b82c6e5ea6e,Galleries Lounge,Washington Dulles Airport,Business Class
27bea9b7b542d038bdc08033d05ed5c9,Blue Ribbon Domestic,Bangkok Suvarnabhumi Airport,Business Class
4afed818c50fcbc8730e0a3b9c62c9f5,International Business,Denpasar Bali Airport,Business Class
ef9faff94dae2e5c21b9bd3511e0038d,Maple Leaf,Montréal Airport,unknown
44c289bfe5c78d6a6399c58f4ba3eaf7,Business lounge,Hong Kong Airport,Business Class
b42c44815afd9c123a04629c9e1289c9,The Lodge,Johannesburg Airport,unknown
e993fc421f6410c2e3a2c8330b13c08b,unknown,Vienna Airport,Frequent Flyer
42c332c61fdba7bb7864a5ed96783451,SilverKris Lounge,Singapore Changi Airport,unknown
8f241b4bd623005a3f8a71278471c57d,Tokyo Haneda Terminal 2 Power North,Tokyo Haneda Airport,Pay to Use
c7a1a2a8bca8d41afd96587ee566545c,Lufthansa Star Alliance,Athens Airport,Business Class
7627567f4f5011df887f5b03196045f0,unknown,Mombasa Airport,Business Class
0e52fbd9ff15d73bf25294b41daa858f,unknown,Bahrain Airport,First Class
3c24ae05454784eb6a84624910d9301f,Dynasty lounge,Taipei Airport,Business Class
ce9244c86fcafbae7f07852675689573,Star Alliance,Rome Fiumicino Airport,Business Class
3358f75845eb1a66b6b6e3f3f9a3e16b,Sky Team Lounge,Dubai Airport,Business Class
cbb2c94e5a9b5149f268cad22185860f,United Club Terminal E,Houston IAH,Members
379ca1267795aa368168360f07cabc73,unknown,Toronto Pearson Airport,Frequent Flyer
cf8892de6d4d39d108fcfe7d434db8ce,Munich K,Munich Airport,Frequent Flyer
90512058feb5903cbe2cc34fb4653f9f,Concorde Room,New York JFK Airport,First Class
241b4f59ad4108515421f291f97cb42e,Plaza Premium,Hyderabad Airport,Business Class
b90e3b728a919c8155ec882c71456f4c,Travel Club Lounge,Kolkata Airport,Business Class
0a554dfd8fabf1149e1ed015a5062996,Club America,Miami Airport,unknown
cd65f53f18c01e64cfd8b65ddd5a1016,unknown,Seattle Airport,unknown
1004c2a99d0074e2d87b094d424b1234,Cathay Pacific,Paris CDG Airport,Business Class
bf8dac5ba38a30785e2ce6b597fa1cfc,Maple Leaf Lounge,Montréal Airport,Business Class
496ad9d1268477544048b3cc062475ce,Bolero,Warsaw Chopin Airport,Pay to Use
3f449a6ea76febed44f42f050cc92f2e,unknown,Portland Airport,Business Class
ea9399e51d39c6625eb76356e1bb6e82,Lounge T1,Singapore Changi Airport,Pay to Use
b213c6c7a97ab418ce6ad91755fbc046,Galaxy,Moscow Sheremetyevo Airport,Business Class
e89c3309df9520ddb42bc30e8c1db38c,unknown,Hannover Airport,Frequent Flyer
f4926785920a9ae55687411115814fac,Admirals  Club,New York JFK Airport,Business Class
57412ca158fdef60002387d4f9324a6c,Almeisan Lounge,Cairo Airport,Frequent Flyer
d3f3a58fb7716bb2170b3bc6ea2c72e6,Galleries South,London Heathrow Airport,Business Class
619153b6cef782d9cdd7d38a1a926614,Sats Premier Lounge T1,Singapore Changi Airport,Pay to Use
4ecd4af49d6a0db33103e9c99e3b1679,Diamond Elite,Bogota Airport,Business Class
763ef189dd9333e3799c6bf4065f3d84,United Club,Los Angeles LAX Airport,unknown
6ec1d8708d4bf50a3c12382abc3e0597,unknown,Ottawa Airport,Business Class
4c2085db06ae02315e5299214f9a6864,Terminal G,Rome Fiumicino Airport,Business Class
4e82ec515845906cce527bb92699f614,Star Gold Lounge,Charlotte Airport,unknown
db7d9f3af71c7af5ab2ef872f6be505c,LHR Terminal 4,London Heathrow Airport,First Class
8a24bcda9748946e2a87ce1bc2c462d8,Senator Lounge - Gates G,Munich Airport,Frequent Flyer
af915a4676b2888f5c397f5a7d1aaefa,Ngurah rai,Denpasar Bali Airport,Business Class
660f1d849e1b6cc26ead49a2990c6332,Business Lounge,Brisbane Airport,Business Class
ae6c9674ec387dd75a7a8a1747ab9c0e,Admirals Club,Los Angeles LAX Airport,Members
affba8530ff30676993f5526144752f0,Senator Lounge,Geneva Airport,Business Class
3924d85af8e732019b17ee8e17ee74e8,United Club,San Francisco Airport,First Class
cebe03f67e99ecf7a94a9ea159737464,SATS Premier Lounge,Singapore Changi Airport,Business Class
c54beff9a93b6080b882b8ef64576e97,unknown,Dusseldorf Airport,Business Class
b6a910a78145108b2b1b2a268a3c38f5,unknown,Los Angeles LAX Airport,First Class
fdca553370606308d0b54da23fe0ef6e,Al Mourjan Lounge,Hamad  Doha Airport,Business Class
934cd4ae7d123bb3c9fba9f5602c7976,unknown,Beijing Capital Airport,First Class
ae088fe9138228ef0f75cde418ba3064,unknown,New York JFK Airport,Business Class
7922a37c00ea172c92c5ad9940d254c2,unknown,Manchester Airport,Business Class
24938410b9ca92916723c8e4a7cd0277,Swiss Lounge Terminal E,Zurich Airport,Business Class
c2f4a9742c12cefc330de80d2c5e726f,unknown,Washington Dulles Airport,Business Class
25003664c0753defc0dceaf1005e2731,unknown,Dublin Airport,Business Class
b3af31c32af11e19105197d6663c096b,Blue Ribbon Lounge,Bangkok Suvarnabhumi Airport,Business Class
5bed3ca47c1876c920db1164143fa746,Senator Lounge,Vienna Airport,unknown
5690984d774a7a1bb2eacb17d5e51aaf,"IBERIA ""SALA VIP"" BUSINESS CLASS LOUNGE REVIEW",Madrid Barajas Airport,Business Class
3aa618b0cdb81939bfe9245e792cdba1,Galleries South T5,London Heathrow Airport,Business Class
2ff76a71dbe65e39c0772ec04ccdcbda,T5 Business Lounge,London Heathrow Airport,Business Class
58bc0e6c633180214706e4d2c5fc97b6,unknown,Dubai Airport,Business Class
f1426a8e933739ef53958e7072caf282,Al Mourjan The Garden,Hamad  Doha Airport,Business Class
28658453e17dc5d818cdbb2d209888a8,America Express,Sydney Airport,Pay to Use
f4e0646bb8726f9ed3c0ea20dd82ae6c,unknown,Singapore Changi Airport,Business Class
553c094219ceb9e36d925f4acb6717b0,Dynasty Lounge,Bangkok Suvarnabhumi Airport,Business Class
6abe070c2239f32f3364858da961a0bc,unknown,Bangkok Suvarnabhumi Airport,unknown
a5dd716ef3320a58f394c6ae427af84e,Lounge D Senator,Zurich Airport,Frequent Flyer
0e9597f83f5e562dee0db60efed50bbf,Garuda Business Lounge,Jakarta Airport,Business Class
e9acd614d15d7e4c6fee72bacd7e8666,Domestic Lounge,Yangon Airport,Business Class
fc468a1ff8a694ec2f6b416086a922bc,United Club,Honolulu Airport,Business Class
870ec656c863318a917eb5c8bc6506fc,Gold Lounge,Oslo Airport,Business Class
33555fba7f7f40452664be696c70e830,Miles and Smiles lounge,Istanbul Airport,Frequent Flyer
d91d627fd24cbf8d7168f79b98056108,VIP Lounge,Florence Airport,Business Class
0b5312950643c101a5dece83a781ae82,Concorde,London Heathrow Airport,First Class
0c8cf8088584f4c2ca3732e7df1cbb0a,unknown,Vancouver Airport,Business Class
029ff99b9151d323d89802b7201fe8c4,unknown,Munich Airport,Business Class
a68eac34c9f6d2aef289984d9373d717,Flagship,London Heathrow Airport,First Class
6c025bf50697f1be08f038d9f227d0e7,SAS Lounge (T5),Stockholm Arlanda Airport,Business Class
2e7e4acc3df1e6018d465e7269348fa1,Maple Leaf Lounge,Vancouver Airport,Business Class
885db56ccc3a3f84a6645d023c5070b8,Star Alliance Lounge,Newark Airport,Pay to Use
846f213f2ceca167c8d5f4b7e5103491,Chivas,Almaty Airport,Business Class
ce31a39b9de5529b160a8491443d3503,"Business Lounge, T2",Singapore Changi Airport,Business Class
88ac9f24ad97da51068b9728c97b82dc,Business Lounge,Leipzig/halle Airport,Business Class
c299f67f2c37e1d1db375289a17b7954,unknown,Bahrain Airport,Business Class
61513c340fc6622973df6128623670a9,unknown,San Diego Airport,Business Class
f0b0586ebefee97ddb3c71465b4a3207,Lufthansa Senator Lounge,London Heathrow Airport,Business Class
209574a8d67aa4077e69c1327434c841,Aspire,Manchester Airport,Frequent Flyer
400e4ad9ace39abb792ce54c70082491,unknown,Phoenix Sky Harbor Airport,Business Class
d9e669df1d9dd41b907c9de52cecab66,unknown,London Gatwick Airport,Business Class
c243ddd09be28b2663054ba8336d1af1,Gold Circle,Cork Airport,Business Class
176c1e310d1c60e0fcb937c9eba34836,Blue Ribbon Lounge,Koh Samui Airport,Business Class
5090f7096c8918c58d699e9fe6ae8ebe,Platinum Lounge,Budapest Ferihegy Airport,Frequent Flyer
13cc0b2828303aef0f4978819fc5e9e0,Galleries Lounge,Washington Dulles Airport,First Class
0bfa1a0d2f0c5d6bd840dcf642ad543f,unknown,Orlando Airport,Business Class
417305d8af27f0f737411f52f2c34b30,Air New Zealand Lounge,Brisbane Airport,Business Class
ac40f421ba0025c8df51584281069243,United Club,San Francisco Airport,Business Class
ccb118d4b60a470c94af6e41124a71c8,Sala VIP,Mexico City Airport,Frequent Flyer
65f0df1ea103d5298242cfcf6150c888,Polaris Lounge,Chicago O'Hare Airport,Business Class
4087b3a8046253bb69d4e9d6f9523d0f,Maple Lea,Los Angeles LAX Airport,Business Class
fcb2365c5c954b9eda017d3087030600,Business Lounge,Melbourne Airport,Business Class
7545834562dc37282ddb0b7a96cfc0cb,Terminal 5 Zone A,London Heathrow Airport,Business Class
cfdd032b9894a24b792d65b32c72aeb0,Mabuhay Miles Lounge,Manila Airport,Business Class
09b6552d6cf5313ed63e9c77669f1950,No 1 lounge,London Gatwick Airport,Business Class
0c9e81d276897fef5e98a6bc63bb632b,Premier Lounge T3,Singapore Changi Airport,unknown
31685bf4c80077a390fa79f6e249d8fe,Admiral's Club,Philadelphia Airport,Business Class
91b18cdbf3c4c7fd080bbf9564799045,Korean Air,New York JFK Airport,Business Class
c5cc61a4977d1a9dadb9aee228b39510,unknown,Rio De Janeiro Airport,Business Class
03f9bf364afee2bf042f9ece21f5bada,Satellite C Golden Lounge,KLIA Kuala Lumpur Airport,Business Class
080e0636d59aa1c43f3d253cdc8b3142,First Class Lounge,Beijing Capital Airport,First Class
9109c0144212f609036d86017a06ad1a,The Loft,Los Angeles LAX Airport,First Class
e644ba3856963b19bfe1ae09085d2bc8,KLM Crown Lounge (non-Schengen),Amsterdam Schiphol Airport,Business Class
965b92332c7c3f4af4473878be1bd16d,Toronto Domestic Maple Leaf Lounge,Toronto Pearson Airport,Members
15878872d23f3a348d19f213c8557ec4,unknown,Lisbon Airport,Frequent Flyer
9ed9896751c7479134cb065fc4572e5a,unknown,Zurich Airport,Frequent Flyer
1705d3434227dfdf5f1fd4ec2f2412e9,Swissport Lounge,Athens Airport,Business Class
d6611e3b2d785f3069cb0b15bc70e409,Maharaja Lounge,Mumbai Airport,Business Class
f33b0b6d508758829cf468ed60e159ff,Velazquez,Madrid Barajas Airport,Business Class
66256332040bac85969c686b1212b546,Star Alliance Gold,Seoul Incheon Airport,Frequent Flyer
aa9430790ae4e136b44fef3d4af12399,unknown,Doha Airport,Frequent Flyer
b797a465432bb92add5e5cc8bcd432a0,Krisflyer Gold lounge,Singapore Changi Airport,Frequent Flyer
76e69b19f50b83269665cafe4184c4fb,First Class,Sydney Airport,First Class
c18a8891d9efae8184905b2aa48d45e3,Premium Lounge,Miami Airport,Frequent Flyer
d969f7e6284c2634355099944e80f127,Admirals Lounge,Nashville Airport,Business Class
95903e3e630061134a4749b6a7647fac,Business Lounge,Curacao Airport,Business Class
f215d6bf043b41dc7dd127b5c5324252,unknown,KLIA Kuala Lumpur Airport,Frequent Flyer
a9a9372e62114274a34e683a5bfb4cf0,Club Lounge,Chicago O'Hare Airport,Business Class
b3fb9f9e0e5ca6559948d675228b1385,unknown,Shanghai Hongqiao Airport,First Class
bc51d648a9c50793675040e56c0cb854,Plaza Premium,KLIA Kuala Lumpur Airport,Business Class
a833c47e4a682d8cb482736a7aabb0e9,Zone C,Bangkok Suvarnabhumi Airport,Business Class
a205b4f2a4cb1da497327e1aac449dcd,SilverKris Lounge,Melbourne Airport,unknown
7ad59bdfba7c5adbbbc08d0e7e02e8f7,Senator Business,Berlin Tegel Airport,Business Class
1befa35f12d7e92d40379393b360d719,Kochab Lounge,Cairo Airport,Business Class
8254e91ffc1af3b7df4863db81dbb6ef,Dnata Lounge,Singapore Changi Airport,Business Class
70936b476eb90c233cf4b70fcbd10024,Wingtips,New York JFK Airport,unknown
bf85134ab0aef03129d7ce1a48fd2cbe,SilverKris Lounge,Incheon Airport,Frequent Flyer
d1d36417092b83f8de26a4aaa3d22b95,Sun Coast,Cam Ranh International Airport,Business Class
0513e43a0f166ecc3e0fa6e26197613c,Qantas Club,Sydney Airport,Frequent Flyer
11a3407126b7208d6e15a9891c61b928,First / Business Class,Guangzhou Airport,Business Class
4f08cb7c1859b753d1103cea5b517cee,Wellcome Lounge,Riyadh Airport,Frequent Flyer
78bbfd26a2406e3ad444297d53da72b5,Strata Lounge,Auckland Airport,Pay to Use
88006f4ece4510b35233db1cb17fb5bd,Arrivals Lounge,Frankfurt Main Airport,Business Class
cf92c758b297c52cebf87a846015410d,Sakura Lounge,San Francisco Airport,Business Class
46407a84b61daa3a9eb27dc301537474,Sala Formentor,Palma de Majorca Airport,Business Class
0f3024f945a58b238eaecc4a52dc07b6,51st & Green,Dublin Airport,Business Class
3ebd35ea082d55825516c5e24203e206,Al Safwa Lounge,Hamad  Doha Airport,First Class
5558785d7c0e203ef002b33508987a50,United Lounge,Los Angeles LAX Airport,Business Class
0a9d0aa11b0d3f073bc1d7bbf3012dc4,unknown,Portland Airport,First Class
e6c216e7ba4f54a292296652d0caa799,Cloud Nine Lounge,Addis Ababa Airport,Business Class
18e38d1a347a7a7032f9acff2e760957,Aspire,unknown,Business Class
5c5d13640d2976a792ccd07d8864406f,Qantas Club,Bangkok Suvarnabhumi Airport,Business Class
9d8eacecaa6bdad35149dccbb1c878c2,Qantas One World,Hong Kong Airport,First Class
7415102591a9e679f6c8b97f28df5bec,Silver Kris T2,Singapore Changi Airport,Business Class
c185e3620318b29cdbcae80eec11c624,Golden Lounge KLIA,KLIA Kuala Lumpur Airport,Business Class
510c61862b0bb36be1554c3744da24ca,Aspire,Newcastle Airport,Frequent Flyer
caf20fdf197754f22da300e6b2b4943e,Eurobonus Lounge,Stockholm Arlanda Airport,unknown
b08a0e7d8e56854cd168128935a13ce4,Dynasty Lounge,unknown,Business Class
24d3606efb452f33a743feceec082df3,Swissport Lounge,Geneva Airport,Business Class
763ba53313601d2bb306a16559fea04d,THE LOFT,Brussels Zaventem Airport,Business Class
76a8f822851a26bcce798aa2f887c2f3,unknown,Abidjan Airport,Business Class
092821afa17d08681e84594e463dffae,Business S terminal,Madrid Barajas Airport,Business Class
89ad33c35684a07abb96fca0b5d6a8b2,Pier,Hong Kong Airport,Business Class
501230f89ff82f1500fd33f17ccd5f71,"First Class, Dock E",Zurich Airport,First Class
4f84af2b43ec668ae85485fe3f90b78f,UpperDeck Lounge,Glasgow Airport,Pay to Use
3788b496ee80b5b92606af96fdee7d3d,unknown,Kahului Maui Airport,First Class
cc91d9760f7e4e13602f6baf8a0bbbc8,Sky Lounge,Vienna Airport,Business Class
9a88b84d1d4d24068e81d611ef8702f2,LAT Lounge,Beirut Airport,Business Class
bd66f0d5bcc80da929e0cc1676546463,unknown,Kota Kinabalu Airport,Frequent Flyer
30cf6804b94c67eab4dc433b1983de05,Premier,Mexico City Airport,Business Class
ba84d3ab267a35d40ed89cc8b690399f,unknown,Brussels Zaventem Airport,Frequent Flyer
81c369369c24211079ac800197f83f91,unknown,St Louis Airport,Business Class
a1eaeca82b0f034b506bd7a048154f7c,Asiana Airlines lounge,Seoul Incheon Airport,Business Class
ee7f2d0ffc9423faf144de2af598f97b,Terminal 2,Manila Airport,Business Class
7dad6884bf47162bbc9b193a2ed83a7b,Admirals Club,Paris CDG Airport,unknown
ccb284c58f7d3ecce44af6ad829a1508,Classica,Moscow Sheremetyevo Airport,Business Class
2ea39a33bb04057393d3b2255d1ab761,Senator,Boston Logan Airport,Frequent Flyer
69209c544eda1cd94fa3d893101ba4f3,T3 Lounge,London Heathrow Airport,Business Class
3f0afcf8c0ed774ec639922cb1b4c017,Business class,Moscow Sheremetyevo Airport,Business Class
fc21eef992a4d35f85891b84bb0e8ed2,Okura Lounge,Tokyo Narita Airport,Business Class
bf3dd56428291f04d6bc0b4719535b79,Royal,Cairo Airport,Business Class
3fa867c9ad394991b74b3199eedc16c5,Crown Lounge 52,Amsterdam Schiphol Airport,Frequent Flyer
ce4681611ff5ccf57f55003eed682ec3,unknown,Cebu Airport,Business Class
27ccfd436c28c566ae9ff61284f760b3,unknown,Cochin Airport,Frequent Flyer
85205d3b6fb3d9ab6be6f77995facf59,Le Patio,Paris Orly Airport,unknown
2f822995b6ceda703c18d503347f672d,VIP,Lima Airport,Business Class
95d69651a53bd93e9af3cf14807e97e5,Admirals Club T4,Los Angeles LAX Airport,Members
3b00964e7fc22adff08c150871a81cbd,unknown,Seoul Incheon Airport,Members
2bf10b85b902feb154842f749d9d6772,Admirals Club,London Heathrow Airport,First Class
5e1695e0f2aedd9e0828ff79d051275b,"Terminal 3, Concourse F",San Francisco Airport,Business Class
cca9ba08e331386d0bf22b951df03a24,unknown,Jakarta Airport,Business Class
1aa62c7abf4dc68f28d297bc9f057d91,Sky Club,Los Angeles LAX Airport,First Class
46f86ceb75fe982bb46e88e06f4cc706,Ambassador,Singapore Changi Airport,Business Class
88d0a3ce3a68dd6697889b2a0ecedc36,Crown,Amsterdam Schiphol Airport,Business Class
45a21973580d1df311c4323f4b877362,unknown,Tokyo Narita Airport,Business Class
486f1a9dba147e644b949a32de88a781,unknown,London Heathrow Airport,Business Class
606865dc72eb6db9276032828fcd3f8b,unknown,Sao Paulo Guarulhos Airport,Business Class
2739b2ccc7c6fba2ec900c6f3ae992f5,unknown,Melbourne Airport,Frequent Flyer
1e2dbdae155145ceb1db1233f29d4e3f,Sydney Domestic Lounge,Sydney Airport,Frequent Flyer
400cb7eb5bdae71e1bf390c81269c5b6,Golden Lounge,KLIA Kuala Lumpur Airport,Business Class
9a85f40caba5acaa7ea4b6925983a628,Flagship Lounge,New York JFK Airport,First Class
3654a5744a8c6e74a1e43b34aed1d1ec,Premium Lounge T2,Helsinki Vantaa Airport,Business Class
