aircraft_id,aircraft_model,aircraft_manufacturer,seat_capacity
10c58f61d5029069a67ec253b2ab3be1,Boeing 737-MAX800,Boeing,189
02bebc0cf35f6965e35e09363fc39c74,Boeing 777-330ER,Boeing,396
40a57ea4f1b9f52fb39a7472b6d7b5c4,Boeing 737-8EH,Boeing,189
2db95abd247db977b1a89d32821378f3,Boeing 787-800DREAMLINER,Boeing,242
4ad333930a1ce14c5e1f5a210f2b8ea9,Boeing 747-300,Boeing,467
e11f1d7c1bee9a4074bebdfeadcfa22d,Boeing 738,Boeing,
e7db36a88fa09985b33322f4d49d7c70,Airbus A343,Airbus,
69a4084869d2dca8dc5729d302641d01,Boeing 738-MAX,Boeing,
c9eed99c08ed9a848cac6d8796b13f51,ATR 46,ATR,
76c375c7bfc8c72697be6f8420820c04,Boeing 738-800NG,Boeing,
e0314745f191ab2ecb95b28ca4309fe9,Airbus A346,Airbus,
aeb0dc21ba6e6cbe5a2baa143a6a6c32,ATR 32,ATR,
1b930fc280006bbd9e1fb9b96ad63b20,Boeing 707,Boeing,
7e4a2f62e940a824dc0bcef0959a14d6,Boeing 700-200,Boeing,
17b41dfba133bc3aea684f22a777c5dd,Airbus A380,Airbus,555
2599e8e0ac467abb0a299b1190a5495f,Boeing 767-300,Boeing,216
5f21896dccb30a6ec34ee74a5989c5ad,Boeing 737-400,Boeing,189
8151628593e54a10d7e1986f589e77ad,Boeing 767-200,Boeing,216
3a1dff2c9f90fcec3248f4e456071f48,Boeing 737-809,Boeing,189
4b66c8389a183b4a1a75199e70c3af3f,Boeing 777-300ERANDBOEING,Boeing,396
b6d3ea73ae809103f711d09b3dce2108,Boeing 777-20,Boeing,396
81cd75ff7d311fb51bedf54b7a4af45c,Boeing 767-338ER,Boeing,216
a29f3cbd91572eedd9cf5624ce3b4f0c,Boeing 789-10,Boeing,296
baf01a9e4b1f52e156678abb9744c948,Boeing 727,Boeing,
a1073efa4539dac74e2d6c3bb37a0363,Airbus A333,Airbus,
442fa156900c39affa385cda36602ca0,Airbus A341,Airbus,
329ad96b7cabc3188a13fe77715e475c,Airbus A330,Airbus,277
e96230a81685021e86ac72a047b9a6f1,Airbus A340,Airbus,295
819be28c5fdb5b93c994c6b88478e2ba,Boeing 787-8,Boeing,242
1a9a2f77c18207ccd74fdbf87f2c4dc8,Boeing 747,Boeing,467
d94d2bca679a063f6344e486c135ded2,Airbus A320neo,Airbus,180
96536bdb66e70b895de9089002204abf,Boeing 747-8,Boeing,467
843c9afa98c86f71d6d2521688a00473,Boeing 737-9MAX,Boeing,189
3b0a6b5a80e36e36d99ca4d5d189a797,Boeing 787-10,Boeing,242
b7747d9f82d83722960298074788887f,Boeing 767-400ER,Boeing,216
f8628006e8cb3aa3288b8d0ae12e2faf,Boeing 737-800ANDEMBRAER,Boeing,189
f0189e724398b03c5bcf0a1c82298952,Boeing 737-8AS,Boeing,189
7b908832b6c75d33698a5a767c1d6d97,Boeing 737-300COMBI,Boeing,189
4ecb771537dfa8405ce2f3afa797b09b,Boeing 789-9,Boeing,296
f6bff49e3838a899c3f8e57a9f08d8d5,Boeing 767-399E,Boeing,216
757b34d28211c73516f839106599137e,Boeing 787-8DREAMLINERAND,Boeing,242
f612ea106bec801e616be93537efbe17,Boeing 739,Boeing,
efe7e4f478310efb38190d3d1a998118,Airbus A302neo,Airbus,
ad921d60486366258809553a3db49a4a,unknown,Unknown,
01a03806d665df9c9b53bd9944b5dca3,Boeing 777-300ER,Boeing,396
83e68972bfdd7a7099112975b2f7a053,Airbus A320,Airbus,180
cd64d70a0478891ae227927b0a1dfdfc,Boeing 737-800MAX,Boeing,189
6c92f4750fb60a8d63ec1f06225609b9,Boeing 747-800,Boeing,467
32d9bb763808bf6fb54079a3821e91d7,Boeing 747-788,Boeing,467
1e02c29f75a79ba179843f3c1fdb0d60,Boeing 737-800ER,Boeing,189
bc087afc8f78f6d89fecb27cead34562,Boeing 777-232ER,Boeing,396
570429c1002d54b67c2690c13f92e1cc,Boeing 777-336ER,Boeing,396
0f5ce023920208ed6266cb584c65fc3e,Boeing 777-400,Boeing,396
7009fd3b8f49aa252e308c322fe4719f,Boeing 777-2OOLR,Boeing,396
cf61bab0c242bdc1ad48c82b1a806152,Boeing 737-100,Boeing,189
1b82d3a7a2a324c80ffb602bd1def390,Boeing 737-800SERIES,Boeing,189
87ed4904da92e1f52dc1a11e22d91c5c,Boeing 747-MAX8,Boeing,467
47617a6432d26c5694f5491cf937b23d,Boeing 700-737,Boeing,
bf0cf90b4fbf1c6bdd6f0ee45691ba87,Boeing 777,Boeing,396
2edbf114f84e8d42197ac35fa51441ce,Airbus A318,Airbus,132
ffcae02ec846375c875983262571f8b2,Embraer 195,Embraer,120
ed1f51b8b4ed002ea001e0b4d10c4f98,Boeing 737-9,Boeing,189
d7f8b4d9a34a5db09c99c9cb39fe7734,Boeing 787-900,Boeing,242
ee9c8c0243c7fb2ceab1354d878810bd,Boeing 777-300ANDBOEING,Boeing,396
a67bf1c7ddac2e10bc54ab874a1e7e85,Boeing 767-322,Boeing,216
0938eccbba4dca2b52f214d0de9edbfa,Boeing 737-700WINGLETS,Boeing,189
a0259fb38e87a8ab6eb92fd26b4c951b,Boeing 737-700W,Boeing,189
3381a760a495f90a2d39581228c55763,Boeing 737-800W,Boeing,189
f3adb8ded746be158b9fc2916d753c4b,Boeing 757-209,Boeing,200
edd05c2f10843c8601a79f1904a33754,Boeing 787-8ANDBOEING,Boeing,242
d299b6b973295d7e0406b926e3ab1a61,Boeing 787-800AND,Boeing,242
21f8fd34d2bddc33f33f44df793fb482,Boeing 747-8AND,Boeing,467
7d9ccdddc7c7d9c4218a5dff2e4c3d1c,ATR 72,ATR,
5b3185a3830851e25dd09cf37207a1a8,Boeing 737-800,Boeing,189
d9f0203a67a0aec806b5c7eb68dfad83,Boeing 767,Boeing,216
8d45c8081724dc016a8fb098556c207e,Boeing 787-9,Boeing,242
eed0cc46106b32489ba7dd5f5fe95051,Boeing 737-900,Boeing,189
3a618043e55949086caf0c762ebefa30,Boeing 747-8I,Boeing,467
d0ff129caef4a8d7fe40e87ad748b058,Airbus A330-300,Airbus,277
a224bc44a30c81f2da7124b7a6da76f1,Boeing 737-300,Boeing,189
965fe130761a72b36358ce934a6183a2,Boeing 737-600,Boeing,189
67ffaa418163006400e6b07b4df4d74e,Boeing 737-7,Boeing,189
d89ab0a1551ea205ad72f37bd39cf388,Boeing 737-800AND,Boeing,189
37f4a8c51149df941519d744bf846623,Boeing 737-10,Boeing,189
93cc2aaf0a6139283e0459afbc0f9cb2,Boeing 777-800,Boeing,396
ebe58c2d061a34b0e096329d6d80f26f,ATR 52,ATR,
f89f83e0066132de49668e71ffbe6655,Boeing 700-333,Boeing,
d455982f5372eddcf3ff2748fc85a199,Airbus A321,Airbus,220
3aafeede42b891f9880d21454a27f537,Airbus A350,Airbus,300
ec6cc99310e00283753cb8507dd9f678,Boeing 737-8MAX,Boeing,189
38aa19bc693207c7335efe8876aecfc6,Boeing 777-312ER,Boeing,396
9b4c05c7369cac0b3ac92aae1dd766cc,Boeing 757-400,Boeing,200
aae1446c4afdcfad99744fb8bc498427,Boeing 737-300ANDBOEING,Boeing,189
064bf120287c416141e4e1a440244240,Boeing 767-300AND,Boeing,216
657915bfc854389ef8ccb4049b1e6f25,Boeing 787-99,Boeing,242
2ca2a730fd84a5996b3e8cc27cece044,Boeing 772,Boeing,
739193220b91231afba3cd3d9f472627,Boeing 748,Boeing,
eb7233e3e433cea63116b0fcd2f0f067,Airbus A332,Airbus,
40eadd6d48e7cd5166de1513a9b4419a,Embraer 190,Embraer,98
f4bb8783ea77d4253e1ec6f1800c6a8a,Boeing 737-900ER,Boeing,189
d55803e4b6bfaa26ac1c659247f3b1c5,Boeing 757-300,Boeing,200
5606a817257a517d7da5a146d835a3f0,Boeing 787-MAX,Boeing,242
3bf7bcafc1afe5c36eb2417d7a044e2e,Boeing 744,Boeing,416
6e1c713518ba9ae718c0b95c3125481e,Boeing 737-8M,Boeing,189
19ebf3bdfdebaf9b13354ff356c089d8,Boeing 777-800ER,Boeing,396
607071b64b5504b5e6808b3fcdd58409,Boeing 777-206ER,Boeing,396
bedbba9db230d9a6456a4edb317e4dd3,Boeing 757-200BOTHLEGS,Boeing,200
16ac1b00ae2de65a23cb2a88fd88d341,Boeing 787-9JET,Boeing,242
8d0fb736cb0ddb5c816a5b88b04bbf86,Boeing 777-236,Boeing,396
f58265683bada5eb919f026c88c5210a,Boeing 777-200RANDEMBRAER,Boeing,396
cb937a91c1e173412efbade8dd08c3f3,Boeing 767-300R,Boeing,216
34f277df1c2feb51ee509621f63e7657,Boeing 763,Boeing,
